Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,MARKET ST / GOLDEN GATE AV,-122.4102935,37.78223059
7/11/2017,WARRANTS,WARRANT ARREST,Tuesday,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.4078454,37.78509432
7/11/2017,NON-CRIMINAL,FOUND PROPERTY,Tuesday,RICHMOND,NONE,4500 Block of BALBOA ST,-122.5074972,37.77519479
7/11/2017,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,SOUTHERN,"ARREST, BOOKED",200 Block of 9TH ST,-122.4124334,37.77433216
7/11/2017,TRESPASS,TRESPASSING,Tuesday,TARAVAL,NONE,200 Block of HAROLD AV,-122.4530354,37.72269367
7/11/2017,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,SOUTHERN,NONE,0 Block of 12TH ST,-122.4200014,37.77409486
7/11/2017,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
7/11/2017,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 6TH ST,-122.4040716,37.77727419
7/11/2017,ASSAULT,BATTERY,Tuesday,CENTRAL,NONE,1000 Block of MONTGOMERY ST,-122.4038915,37.79871532
7/11/2017,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Tuesday,INGLESIDE,NONE,400 Block of SAWYER ST,-122.4146668,37.71241721
7/11/2017,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Tuesday,MISSION,NONE,100 Block of LANDERS ST,-122.4277209,37.7650824
7/11/2017,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Tuesday,CENTRAL,NONE,1200 Block of FILBERT ST,-122.4200883,37.80008096
7/11/2017,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Tuesday,MISSION,NONE,3700 Block of CESAR CHAVEZ ST,-122.4236515,37.74795746
7/11/2017,WEAPON LAWS,POSS OF PROHIBITED WEAPON,Tuesday,TARAVAL,"ARREST, BOOKED",0 Block of CRAGMONT AV,-122.4681539,37.75084819
7/11/2017,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,SOUTHERN,"ARREST, BOOKED",6TH ST / MISSION ST,-122.4087106,37.78097067
7/11/2017,OTHER OFFENSES,POSSESSION OF FIRECRACKERS,Tuesday,TARAVAL,"ARREST, BOOKED",1700 Block of 42ND AV,-122.5012514,37.75405739
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,800 Block of MISSION ST,-122.4062266,37.78285379
7/11/2017,WARRANTS,WARRANT ARREST,Tuesday,MISSION,"ARREST, BOOKED",BRYANT ST / 24TH ST,-122.4091319,37.752797
7/11/2017,ASSAULT,BATTERY,Tuesday,MISSION,NONE,CASTRO ST / 18TH ST,-122.4350029,37.76088781
7/11/2017,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,MISSION,"ARREST, BOOKED",BRYANT ST / 24TH ST,-122.4091319,37.752797
7/11/2017,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,NORTHERN,"ARREST, BOOKED",400 Block of MARINA BL,-122.4411037,37.8058165
